Indirect transition BDNS																										IndirectTrans_Sham																									
Pre1	Pre2	Pre3	Pre4	Pre5	Pre6	Pre7	Pre8	Pre9	Pre10	Pre11	Pre12	Pre13	Post1	Post2	Post3	Post4	Post5	Post6	Post7	Post8	Post9	Post10	Post11	Post12	Post13	ShamPre1	ShamPre2	ShamPre3	ShamPre4	ShamPre5	ShamPre6	ShamPre7	ShamPre8	ShamPre9	ShamPre10	ShamPre11	ShamPre12	ShamPre13	ShamPost1	ShamPost2	ShamPost3	ShamPost4	ShamPost5	ShamPost6	ShamPost7	ShamPost8	ShamPost9	ShamPost10	ShamPost11	ShamPost12	ShamPost13
0.02094	0.022523	0.020381	0.021073	0.022591	0.022418	0.024648	0.025436	0.026742	0.026466	0.026897	0.029041	0.02819	0.032615	0.032577	0.031462	0.031599	0.032816	0.035318	0.03854	0.040389	0.042294	0.04186	0.041956	0.042519	0.041464	0.021891	0.024198	0.022039	0.022792	0.024394	0.023462	0.021159	0.019444	0.022631	0.023371	0.025829	0.022135	0.024909	0.021621	0.020266	0.022395	0.023517	0.022949	0.021634	0.02279	0.022576	0.022493	0.023447	0.021014	0.022031	0.023245
0.022033	0.022305	0.021913	0.021272	0.023344	0.024944	0.025716	0.02769	0.027897	0.028396	0.027994	0.030376	0.028933	0.032881	0.031687	0.033544	0.035935	0.034413	0.040138	0.039583	0.041854	0.043997	0.043269	0.045387	0.045653	0.045803	0.022902	0.022712	0.022561	0.022734	0.023091	0.021373	0.023364	0.024118	0.021933	0.023002	0.021412	0.023243	0.021058	0.021609	0.025195	0.022829	0.022656	0.02391	0.022676	0.025776	0.023872	0.022296	0.023628	0.020116	0.021323	0.021478
0.022351	0.02166	0.022882	0.022778	0.024551	0.024961	0.027191	0.027432	0.02872	0.03048	0.029322	0.03015	0.030555	0.035422	0.033501	0.03534	0.034997	0.035394	0.040876	0.042112	0.043284	0.045983	0.044943	0.046889	0.046934	0.045069	0.023298	0.020959	0.023758	0.022628	0.023761	0.022629	0.024832	0.022494	0.022231	0.020873	0.023036	0.023692	0.018345	0.022971	0.024687	0.021699	0.023857	0.020957	0.021875	0.026725	0.025154	0.023598	0.024698	0.02428	0.023298	0.024584
0.014348	0.013763	0.014103	0.013838	0.015864	0.015406	0.017217	0.017259	0.018528	0.019605	0.018637	0.019585	0.018843	0.022549	0.022745	0.022718	0.023979	0.022752	0.024601	0.028065	0.027966	0.028791	0.027992	0.03001	0.030223	0.030663	0.01448	0.013116	0.014526	0.014269	0.015323	0.014305	0.013848	0.014871	0.014898	0.014319	0.012141	0.013769	0.012045	0.014201	0.015308	0.014414	0.014008	0.014539	0.014453	0.012069	0.016008	0.013632	0.015087	0.014673	0.014677	0.01578
0.014569	0.015016	0.014991	0.014266	0.015878	0.016129	0.017351	0.018597	0.01815	0.019071	0.018848	0.019615	0.019694	0.022325	0.022421	0.023524	0.022852	0.023411	0.025249	0.027025	0.02782	0.029674	0.028796	0.028798	0.028927	0.030562	0.015766	0.016289	0.01493	0.015829	0.014581	0.016213	0.017277	0.014856	0.01484	0.014133	0.017556	0.015497	0.016405	0.015174	0.01371	0.015322	0.015544	0.014599	0.016054	0.015922	0.014758	0.015	0.014307	0.017032	0.014913	0.012629
0.015073	0.014889	0.015755	0.016161	0.016286	0.017251	0.017714	0.018854	0.019776	0.019176	0.019808	0.020322	0.020465	0.023359	0.022367	0.024154	0.023205	0.025157	0.025079	0.027172	0.028368	0.02968	0.029377	0.030274	0.031901	0.030487	0.0138	0.014155	0.01414	0.013934	0.013998	0.013099	0.011523	0.012478	0.014177	0.01484	0.012201	0.01339	0.012418	0.01398	0.012614	0.013713	0.013797	0.013591	0.013111	0.016283	0.012177	0.013203	0.013199	0.015788	0.013135	0.013582
0.016007	0.015235	0.015476	0.016024	0.017244	0.017253	0.019324	0.019403	0.020134	0.020236	0.020526	0.022168	0.021926	0.022369	0.022841	0.02552	0.024185	0.027273	0.026818	0.029973	0.031167	0.031044	0.033692	0.031378	0.03203	0.034262	0.017374	0.017685	0.016342	0.015849	0.017842	0.016905	0.013541	0.015918	0.015914	0.017942	0.016586	0.01611	0.016285	0.016525	0.017344	0.016612	0.016561	0.016639	0.016506	0.019388	0.016454	0.016672	0.016298	0.017372	0.015863	0.016456
0.015451	0.015984	0.015177	0.015275	0.016773	0.017279	0.017854	0.018268	0.020708	0.021098	0.020216	0.020436	0.021088	0.022494	0.021702	0.023241	0.024762	0.025057	0.026556	0.028237	0.029118	0.031601	0.03105	0.030752	0.031672	0.032155	0.014332	0.014193	0.014723	0.015397	0.015749	0.015402	0.013909	0.014684	0.015643	0.01389	0.013664	0.01446	0.01602	0.014976	0.014555	0.015277	0.015036	0.016376	0.014756	0.015896	0.017001	0.014973	0.016042	0.015796	0.014487	0.015767
0.015407	0.015979	0.016048	0.01648	0.01581	0.017384	0.018319	0.018242	0.019421	0.019513	0.020638	0.021002	0.021387	0.02297	0.023278	0.022464	0.024058	0.025182	0.026627	0.028286	0.029041	0.030152	0.031693	0.032461	0.032434	0.0327	0.016028	0.015115	0.016203	0.016545	0.017148	0.016366	0.017659	0.016077	0.015919	0.015852	0.016834	0.01653	0.017578	0.016569	0.017775	0.015762	0.015293	0.016112	0.015989	0.015919	0.014914	0.016087	0.016312	0.014644	0.016557	0.017558
0.016125	0.017079	0.017012	0.017115	0.017708	0.017929	0.019214	0.02094	0.020117	0.021762	0.021713	0.021806	0.02149	0.023505	0.025055	0.024496	0.025482	0.025758	0.028085	0.029415	0.031464	0.032587	0.032675	0.032309	0.032519	0.032095	0.017021	0.014588	0.0168	0.017045	0.016037	0.016398	0.01887	0.015907	0.016209	0.015373	0.016639	0.015773	0.014724	0.016564	0.01514	0.01597	0.015502	0.017763	0.017074	0.018633	0.016956	0.015635	0.016699	0.014802	0.016562	0.015398
