STSTPre1	STSTPre3	STSTPre5	STSTPre7	STSTPre9	STSTPre11	STSTPre13	STSTPre13-Initial	STSTPost1	STSTPost3	STSTPost5	STSTPost7	STSTPost9	STSTPost11	STSTPost13	STSTShamPre1	STSTShamPre3	STSTShamPre5	STSTShamPre7	STSTShamPre9	STSTShamPre11	STSTShamPre13	STSTShamPost1	STSTShamPost3	STSTShamPost5	STSTShamPost7	STSTShamPost9	STSTShamPost11	STSTShamPost13
3.846	3.844	3.345	3.358	2.857	3.045	3.16	-0.686	3.427	3.049	2.722	2.487	2.087	2.137	2.037	3.785	3.508	3.65	3.558	3.797	3.582	3.696	3.748	3.631	3.796	3.778	3.842	3.926	3.586
3.478	3.185	3.537	3.312	3.368	3.119	2.621	-0.857	3.113	2.554	2.717	2.145	1.878	1.767	1.753	3.27	3.232	3.113	3.329	3.125	3.152	3.363	3.081	3.23	3.3	3.173	3.116	3.022	3.047
3.425	3.883	3.554	3.255	2.951	3.014	2.66	-0.765	2.983	2.808	2.588	2.11	1.818	1.885	2.028	3.894	3.669	3.572	3.668	3.901	3.564	3.939	3.555	3.822	3.866	3.939	3.685	3.755	3.62
3.548	3.465	3.001	2.718	2.484	2.893	2.631	-0.917	3.031	2.844	2.467	2.114	1.734	1.922	1.818	3.241	2.958	3.182	3.009	3.069	3.02	2.974	3.107	2.942	3.025	2.955	3.162	2.983	3.231
3.923	3.526	3.943	3.148	3.203	2.875	3.091	-0.832	3.228	3.069	2.618	2.528	2.111	2.047	2.091	4.029	3.85	4.023	4.193	4.075	4.196	3.929	3.935	4.122	3.907	3.943	3.828	4.012	4.121
3.236	2.367	2.394	2.54	2.04	2.394	2.199	-1.038	3.04	2.863	2.24	1.657	1.483	1.324	1.442	2.326	2.517	2.556	2.381	2.545	2.593	2.383	2.362	2.512	2.408	2.487	2.43	2.438	2.442
3.133	3.583	3.024	2.945	3.204	2.352	2.421	-0.712	2.927	2.981	2.464	2.283	1.809	1.822	1.657	3.314	3.271	3.192	3.117	3.309	3.157	3.154	3.224	3.261	3.288	3.321	3.184	3.03	3.214
3.427	3.241	3.198	3.278	3.134	2.482	2.679	-0.748	3.064	2.764	2.554	2.021	2.05	1.774	1.842	3.045	3.001	3.105	2.972	3.043	2.945	3.13	3.066	3.025	3.154	3.231	2.951	3.241	2.962
3.778	3.266	3.556	3.367	3.464	3.114	2.995	-0.783	3.598	2.612	2.744	2.226	1.803	1.887	1.742	3.397	3.602	3.395	3.38	3.429	3.384	3.388	3.625	3.574	3.562	3.378	3.382	3.324	3.378
4.409	4.234	3.996	3.797	3.265	3.507	3.6	-0.809	4.018	3.456	3.336	2.895	2.562	2.384	2.499	4.189	4.451	4.382	4.414	4.158	4.439	4.399	4.344	4.053	4.423	4.048	4.167	4.245	4.151
4.171	3.753	3.743	3.381	3.648	2.84	3.287	-0.884	3.602	3.579	2.998	2.436	2.204	2.171	2.082	3.717	3.622	3.613	3.603	3.741	3.779	3.561	3.721	3.751	3.641	3.499	3.518	3.739	3.815
3.773	4.224	3.636	3.331	3.793	3.275	3.497	-0.276	3.444	3.346	3.132	3.028	2.699	2.522	2.497	3.811	3.922	3.835	3.663	4.008	3.924	3.984	3.899	3.789	3.897	4.062	4.022	4.044	3.977
3.586	3.216	3.107	2.677	2.675	2.274	2.363	-1.223	2.674	2.745	2.385	1.683	1.553	1.581	1.393	3.155	2.971	2.892	3.215	3.122	2.935	2.943	2.896	2.944	2.988	2.958	2.964	3.049	2.925
3.154	2.924	2.757	2.702	2.628	2.374	2.043	-1.111	2.459	2.354	2.083	2.019	1.808	1.51	1.62	3.293	3.092	3.171	3.109	3.039	3.215	3.27	3.212	3.201	3.067	3.102	3.243	2.956	3.184
3.338	3.071	3.253	2.924	2.496	2.502	2.29	-1.048	2.782	2.59	2.506	2.169	1.778	1.734	1.685	3.525	3.337	3.344	3.553	3.528	3.497	3.483	3.255	3.271	3.258	3.258	3.49	3.498	3.472
