NVJ																											
NVJPre1	NVJPre3	NVJPre5	NVJPre7	NVJPre9	NVJPre11	NVJPre13	NVJPost1	NVJPost3	NVJPost5	NVJPost7	NVJPost9	NVJPost11	NVJPost13	NVJShamPre1	NVJShamPre3	NVJShamPre5	NVJShamPre7	NVJShamPre9	NVJShamPre11	NVJShamPre13	NVJShamPost1	NVJShamPost3	NVJShamPost5	NVJShamPost7	NVJShamPost9	NVJShamPost11	NVJShamPost13
0.572	0.534	0.538	0.528	0.575	0.615	0.583	0.529	0.525	0.559	0.531	0.592	0.598	0.656	0.588	0.577	0.579	0.584	0.602	0.601	0.587	0.578	0.605	0.604	0.588	0.583	0.597	0.592
0.587	0.612	0.538	0.574	0.577	0.602	0.638	0.587	0.564	0.577	0.551	0.651	0.671	0.683	0.552	0.553	0.561	0.54	0.548	0.552	0.565	0.551	0.55	0.542	0.556	0.565	0.556	0.54
0.566	0.58	0.617	0.615	0.619	0.633	0.63	0.597	0.618	0.602	0.622	0.65	0.66	0.679	0.616	0.598	0.599	0.613	0.61	0.616	0.623	0.613	0.622	0.614	0.597	0.619	0.61	0.608
0.541	0.534	0.498	0.515	0.545	0.527	0.582	0.549	0.51	0.489	0.506	0.561	0.571	0.621	0.506	0.501	0.512	0.505	0.497	0.493	0.497	0.496	0.496	0.494	0.494	0.507	0.511	0.507
0.762	0.713	0.706	0.73	0.717	0.756	0.83	0.718	0.697	0.689	0.726	0.805	0.806	0.835	0.787	0.762	0.767	0.794	0.772	0.77	0.794	0.764	0.792	0.782	0.772	0.77	0.766	0.779
0.571	0.553	0.55	0.561	0.563	0.568	0.628	0.532	0.524	0.516	0.55	0.599	0.606	0.631	0.535	0.55	0.552	0.535	0.547	0.531	0.542	0.546	0.552	0.538	0.547	0.54	0.529	0.535
0.592	0.59	0.582	0.546	0.576	0.589	0.623	0.549	0.608	0.575	0.581	0.66	0.628	0.684	0.596	0.595	0.6	0.601	0.606	0.599	0.619	0.6	0.601	0.594	0.62	0.611	0.611	0.61
0.72	0.731	0.72	0.66	0.722	0.767	0.767	0.667	0.67	0.724	0.666	0.785	0.82	0.822	0.761	0.73	0.732	0.75	0.733	0.754	0.725	0.735	0.728	0.732	0.75	0.747	0.746	0.758
0.579	0.604	0.587	0.57	0.585	0.615	0.618	0.587	0.574	0.552	0.588	0.61	0.641	0.646	0.543	0.525	0.536	0.528	0.539	0.53	0.526	0.54	0.537	0.54	0.536	0.524	0.533	0.542
0.555	0.557	0.555	0.544	0.551	0.617	0.583	0.507	0.551	0.514	0.536	0.562	0.635	0.647	0.557	0.555	0.571	0.573	0.566	0.557	0.579	0.582	0.571	0.556	0.582	0.555	0.58	0.557
0.752	0.775	0.704	0.691	0.763	0.767	0.785	0.735	0.705	0.685	0.686	0.72	0.756	0.788	0.71	0.727	0.705	0.714	0.723	0.738	0.722	0.721	0.707	0.722	0.716	0.732	0.725	0.724
0.594	0.645	0.607	0.551	0.595	0.629	0.672	0.591	0.578	0.58	0.571	0.638	0.683	0.739	0.597	0.604	0.579	0.583	0.602	0.589	0.602	0.587	0.589	0.605	0.581	0.577	0.597	0.606
0.61	0.608	0.649	0.625	0.667	0.691	0.684	0.648	0.659	0.621	0.634	0.696	0.684	0.746	0.658	0.665	0.685	0.683	0.661	0.657	0.671	0.677	0.657	0.672	0.672	0.667	0.671	0.672
0.581	0.59	0.578	0.602	0.589	0.604	0.667	0.578	0.59	0.604	0.618	0.676	0.658	0.732	0.588	0.581	0.583	0.584	0.583	0.579	0.602	0.589	0.605	0.603	0.581	0.591	0.604	0.599
